rank,organization,Categorization,treasury,last 24hrs,top treasury tokens,main treasury chain,governance token holders,active members,proposals,votes,launch date
178,yEarn DAO ($YFI Community Funding),Investment and Grant,$1.9k,-5.20%,"YFI,DAI,BITTO,ETH",Ethereum,15,14,20,18,07-20-2020
179,HelpDao,Investment and Grant,$1.7k,-0.10%,"DAI,ETH",Ethereum,4,2,5,5,05-20-2020
180,Constitution,Service and Social,$1.7k,-4.60%,"ETH,PEOPLE",Ethereum,19.5k,0,0,0,11-01-2021
181,snglsDAO,Media,$1.6k,-4.70%,"ETH,GEN,SNGLS,SGT",Ethereum,9.6k,0,0,0,03-10-2020
182,Orochi DAO V2,Service and Social,$1.5k,-0.20%,"DAI,ETH",Ethereum,10,3,11,10,01-17-2020
183,UberHAUS,Investment and Grant,$1.3k,-3.50%,"RAID,HAUS,esr,ETH",Ethereum,131,69,73,113,03-30-2021
184,Pangolin,Protocol ,$1.1k,9.70%,"USDT,DYP,AVAX,PNG,ETH",Ethereum,714,714,42,1.9k,03-11-2021
185,21DAO,Service and Social,$947.60,-1.40%,"USDC,SOL,SOL",Solana,0,6,27,155,11-13-2021
186,Raid Guild,Service and Social,$917.20,-4.50%,"WETH,ETH",Ethereum,60,38,61,121,09-17-2020
187,CENNZnet Grants DAO,Investment and Grant,$855.80,-2.90%,"ETH,DAI,GEN,CENNZ",Ethereum,13,12,21,30,04-20-2020
188,ApocalypseDAO,Protocol ,$826.20,-4.40%,ETH,Ethereum,7,7,22,32,12-07-2019
189,Cura Dao,Investment and Grant,$482.30,-1.60%,"DAI,PAN,ETH,SAI,GEN",Ethereum,58,21,49,103,08-06-2019
190,Estonia,Service and Social,$402.60,-0.10%,"DAI,PAN,ETH,USDC",Ethereum,6,2,7,1,03-26-2020
191,Creative Collabo DAO,Investment and Grant,$312.50,-4.50%,"WETH,ETH",Ethereum,6,1,6,5,02-14-2020
192,Conjure,Protocol ,$269.60,-4.50%,ETH,Ethereum,317,0,0,0,02-21-2021
193,MetaClan,Service and Social,$250.80,-0.20%,"DAI,ETH",Ethereum,67,64,88,84,04-24-2020
194,Genesis Alpha,Service and Social,$158.80,-4.20%,"ETH,DAI,PAN,GEN,SAI",Ethereum,295,214,387,2.2k,08-14-2019
195,AirSwap,Service and Social,$145.50,-4.50%,"ETH,GSC,PXC,DTA,XLAB",Ethereum,13.7k,531,63,8.3k,10-13-2020
196,Fest Dao,Service and Social,$91.50,-2.50%,"DAI,ETH,PAN,SAI,USDC",Ethereum,48,35,86,132,10-26-2019
197,clr.fund,Protocol ,$73,-1%,"USDC,SAI,DAI,XDAI,USDT",Ethereum,0,0,0,0,11-01-2019
198,MansaNetwork,Service and Social,$54.20,6.20%,"LEND,DAI,BAL,MKR,USDC",Ethereum,6,3,20,18,06-28-2020
199,Machi X DAO,Service and Social,$44.20,-0.20%,"MCX,ETH,WETH",Ethereum,41,40,49,47,03-23-2020
200,Enzyme Finance,Protocol ,$23.40,-4.50%,ETH,Ethereum,26,23,88,292,04-18-2019
201,BasedFinance,Investment and Grant,$11.80,-1.90%,"WETH,DAI,xSUSHI,ETH",Ethereum,2,2,3,3,12-16-2021
202,DeoraTest,Investment and Grant,$10.90,-0.10%,"DAI,ETH",Ethereum,7,4,16,17,01-17-2020
203,6Ef0c0b0,Service and Social,$10,-0.10%,"DAI,aLEND,LEND,ETH,aETH",Ethereum,6,6,138,223,12-13-2019
204,mStable,Protocol ,$3,-0.10%,"BPT-V1,USDT,MTA,BAL,DAI",Ethereum,2.1k,2.1k,276,10.2k,07-13-2020
205,Collab19,Investment and Grant,$1,-0.10%,"DAI,ETH",Ethereum,78,20,43,53,04-16-2020
206,Daoversify,Investment and Grant,$1.00,-5.70%,"CRV,yCrv,cUSDC,ETHRSIAPY,cUSDT",Ethereum,4,2,4,4,06-12-2020
207,MetaCartel,Investment and Grant,$0.90,-4.40%,"WETH,dca,ETH",Ethereum,112,52,147,425,06-05-2019
208,Aragon Association DAO,Investment and Grant,$0.40,-4.40%,"ETH,DAI,CHAI,SAI",Ethereum,8,6,71,56,01-29-2020
209,Hakt DAO,Investment and Grant,$0.30,-4.50%,"ETH,STACK,USDT",Ethereum,63,11,3,17,10-19-2021
210,ShillShop,Service and Social,$0.30,-1.60%,"LEVIN,XGT,ETH",Ethereum,17,14,33,53,03-10-2021
211,Le DAO,Service and Social,$0.20,-1.40%,SOL,Solana,0,12,29,238,01-18-2022
212,Governance,Service and Social,$0.20,-1.30%,SOL,Solana,0,1,7,8,08-11-2021
213,Moloch,Investment and Grant,$0.10,-2.80%,"ZENIQ,WETH,ETH",Ethereum,118,73,144,700,02-14-2019
214,1UP,Service and Social,$0.10,-5.20%,"GEN,DAI,PAN,ETH,USDC",Ethereum,18,18,40,33,03-23-2020
215,Bonfida DAO,Protocol ,$0.10,-1.70%,SOL,Solana,533,62,18,122,01-12-2022
216,DimensionLab,Service and Social,$0.00,-6.50%,"WSG,FREE,ETH,SAI",Ethereum,2,2,3,2,06-23-2019
217,MyDaoDashboard,Service and Social,$0.00,0.10%,"FREE,DAI,ETH,SAI",Ethereum,9,8,30,39,08-23-2019
